Jahr;AGS;Name;Viehbestand 2016
01.03.2016;9562;      Erlangen;1673
01.03.2016;9563;      F�rth;1215
01.03.2016;9564;      N�rnberg;932
01.03.2016;9565;      Schwabach;984
01.03.2016;9571;      Ansbach, Landkreis;102018
01.03.2016;9572;      Erlangen-H�chstadt, Landkreis;9548
01.03.2016;9573;      F�rth, Landkreis;12316
01.03.2016;9574;      N�rnberger Land, Landkreis;16136
01.03.2016;9575;      Neustadt a.d.Aisch-Bad Windsheim, Landkreis;61277
01.03.2016;9576;      Roth, Landkreis;27895
01.03.2016;9577;      Wei�enburg-Gunzenhausen, Landkreis;42137
01.03.2016;96;    Unterfranken, Regierungsbezirk;128770
01.03.2016;9661;      Aschaffenburg;432
01.03.2016;9662;      Schweinfurt;188
01.03.2016;9663;      W�rzburg;265
01.03.2016;9671;      Aschaffenburg, Landkreis;7088
01.03.2016;9672;      Bad Kissingen, Landkreis;16865
01.03.2016;9673;      Rh�n-Grabfeld, Landkreis;14466
01.03.2016;9674;      Ha�berge, Landkreis;17801
01.03.2016;9675;      Kitzingen, Landkreis;20337
01.03.2016;9676;      Miltenberg, Landkreis;10209
01.03.2016;9677;      Main-Spessart, Landkreis;9095
01.03.2016;9678;      Schweinfurt, Landkreis;13682
01.03.2016;9679;      W�rzburg, Landkreis;18341
01.03.2016;97;    Schwaben, Regierungsbezirk;584803
01.03.2016;9761;      Augsburg;.
01.03.2016;9762;      Kaufbeuren;.
01.03.2016;9763;      Kempten (Allg�u);4322
01.03.2016;9764;      Memmingen;3481
01.03.2016;9771;      Aichach-Friedberg, Landkreis;45098
01.03.2016;9772;      Augsburg, Landkreis;50874
01.03.2016;9773;      Dillingen a.d.Donau, Landkreis;43878
01.03.2016;9774;      G�nzburg, Landkreis;38142
01.03.2016;9775;      Neu-Ulm, Landkreis;19976
01.03.2016;9776;      Lindau (Bodensee), Landkreis;23783
01.03.2016;9777;      Ostallg�u, Landkreis;110774
01.03.2016;9778;      Unterallg�u, Landkreis;115971
01.03.2016;9779;      Donau-Ries, Landkreis;55612
01.03.2016;9780;      Oberallg�u, Landkreis;70348
01.03.2016;10;  Saarland;42566
01.03.2016;10041;      Saarbr�cken, Regionalverband;2857
01.03.2016;10041100;      Saarbr�cken, Landeshauptstadt;.
01.03.2016;10042;      Merzig-Wadern, Landkreis;10988
01.03.2016;10043;      Neunkirchen, Landkreis;4661
01.03.2016;10044;      Saarlouis, Landkreis;7342
01.03.2016;10045;      Saarpfalz-Kreis;7004
01.03.2016;10046;      St. Wendel, Landkreis;9715
01.03.2016;11;  Berlin;1001
01.03.2016;11001001;      Berlin-Mitte;-
01.03.2016;11002002;      Berlin-Friedrichshain-Kreuzberg;-
01.03.2016;11003003;      Berlin-Pankow;-
01.03.2016;11004004;      Berlin-Charlottenburg-Wilmersdorf;-
01.03.2016;11005005;      Berlin-Spandau;-
01.03.2016;11006006;      Berlin-Steglitz-Zehlendorf;-
01.03.2016;11007007;      Berlin-Tempelhof-Sch�neberg;-
01.03.2016;11008008;      Berlin-Neuk�lln;-
01.03.2016;11009009;      Berlin-Treptow-K�penick;-
01.03.2016;11010010;      Berlin-Marzahn-Hellersdorf;-
01.03.2016;11011011;      Berlin-Lichtenberg;-
01.03.2016;11012012;      Berlin-Reinickendorf;-
01.03.2016;12;  Brandenburg;535512
01.03.2016;12051;      Brandenburg an der Havel, kreisfreie Stadt;274
01.03.2016;12052;      Cottbus, kreisfreie Stadt;1542
01.03.2016;12053;      Frankfurt (Oder), kreisfreie Stadt;3494
01.03.2016;12054;      Potsdam, kreisfreie Stadt;1197
01.03.2016;12060;      Barnim, Landkreis;19658
01.03.2016;12061;      Dahme-Spreewald, Landkreis;41153
01.03.2016;12062;      Elbe-Elster, Landkreis;50763
01.03.2016;12063;      Havelland, Landkreis;31222
01.03.2016;12064;      M�rkisch-Oderland, Landkreis;37111
01.03.2016;12065;      Oberhavel, Landkreis;25866
01.03.2016;12066;      Oberspreewald-Lausitz, Landkreis;22705
01.03.2016;12067;      Oder-Spree, Landkreis;35694
01.03.2016;12068;      Ostprignitz-Ruppin, Landkreis;48510
01.03.2016;12069;      Potsdam-Mittelmark, Landkreis;46060
01.03.2016;12070;      Prignitz, Landkreis;57912
01.03.2016;12071;      Spree-Nei�e, Landkreis;28196
01.03.2016;12072;      Teltow-Fl�ming, Landkreis;36941
01.03.2016;12073;      Uckermark, Landkreis;47215
01.03.2016;13;  Mecklenburg-Vorpommern;537856
01.03.2016;13001;      Greifswald, Hansestadt,  kreisfreie Stadt;-
01.03.2016;13002;      Neubrandenburg, Stadt,  kreisfreie Stadt;-
01.03.2016;13003;      Rostock, Hanse- und Universit�tsstadt, kreisfreie Stadt;1092
01.03.2016;13004;      Schwerin, Landeshauptstadt, kreisfreie Stadt;339
01.03.2016;13005;      Stralsund, Hansestadt,  kreisfreie Stadt;-
01.03.2016;13006;      Wismar, Hansestadt,  kreisfreie Stadt;-
01.03.2016;13051;       Bad Doberan, Landkreis;-
01.03.2016;13052;      Landkreis Demmin;-
01.03.2016;13053;      G�strow, Landkreis;-
01.03.2016;13054;      Landkreis Ludwigslust;-
01.03.2016;13055;      Mecklenburg-Strelitz, Landkreis;-
01.03.2016;13056;      Landkreis M�ritz;-
01.03.2016;13057;      Nordvorpommern, Landkreis;-
01.03.2016;13058;      Landkreis Nordwestmecklenburg;-
01.03.2016;13059;      Ostvorpommern, Landkreis;-
01.03.2016;13060;      Landkreis Parchim;-
01.03.2016;13061;      R�gen, Landkreis;-
01.03.2016;13062;      Landkreis Uecker-Randow;-
01.03.2016;13071;      Mecklenburgische Seenplatte, Landkreis;93743
01.03.2016;13072;      Landkreis Rostock;98964
01.03.2016;13073;      Vorpommern-R�gen, Landkreis;61026
01.03.2016;13074;      Landkreis Nordwestmecklenburg;48668
01.03.2016;13075;       Vorpommern-Greifswald, Landkreis;90904
01.03.2016;13076;      Landkreis Ludwigslust-Parchim;143121
01.03.2016;14;  Sachsen;462920
01.03.2016;141;    Chemnitz, Regierungsbezirk;-
01.03.2016;14161;      Chemnitz, kreisfreie Stadt;-
01.03.2016;14166;      Plauen, kreisfreie Stadt;-
01.03.2016;14167;      Zwickau, kreisfreie Stadt;-
01.03.2016;14171;      Annaberg, Landkreis;-
01.03.2016;14173;      Chemnitzer Land, Landkreis;-
01.03.2016;14177;      Freiberg, Landkreis;-
01.03.2016;14178;      Vogtlandkreis;-
01.03.2016;14181;      Mittlerer Erzgebirgskreis;-
01.03.2016;14182;      Mittweida, Landkreis;-
01.03.2016;14188;      Stollberg, Landkreis;-
01.03.2016;14191;      Aue-Schwarzenberg, Landkreis;-
01.03.2016;14193;      Zwickauer Land, Landkreis;-
01.03.2016;142;    Dresden, Regierungsbezirk;-
01.03.2016;14262;      Dresden, kreisfreie Stadt;-
01.03.2016;14263;      G�rlitz, kreisfreie Stadt;-
01.03.2016;14264;      Hoyerswerda, kreisfreie Stadt;-
01.03.2016;14272;      Bautzen, Landkreis;-
01.03.2016;14280;      Mei�en, Landkreis;-
01.03.2016;14284;      Niederschlesischer Oberlausitzkreis;-
01.03.2016;14285;      Riesa-Gro�enhain, Landkreis;-
01.03.2016;14286;      L�bau-Zittau, Landkreis;-
01.03.2016;14287;      S�chsische Schweiz, Landkreis;-
01.03.2016;14290;      Wei�eritzkreis;-
01.03.2016;14292;      Kamenz, Landkreis;-
01.03.2016;143;    Leipzig, Regierungsbezirk;-
01.03.2016;14365;      Leipzig, kreisfreie Stadt;-
01.03.2016;14374;      Delitzsch, Landkreis;-
