AGS;Name;Landwirtschaftlich genutzte Flaeche 2016
153;    Magdeburg, Stat. Region;-
15303;      Magdeburg, kreisfreie Stadt;-
15352;      Aschersleben-Sta�furt, Kreis;-
15355;      B�rdekreis;-
15357;      Halberstadt, Kreis;-
15358;      Jerichower Land, Kreis;-
15362;      Ohrekreis;-
15363;      Stendal, Kreis;-
15364;      Quedlinburg, Kreis;-
15367;      Sch�nebeck, Kreis;-
15369;      Wernigerode, Kreis;-
15370;      Altmarkkreis Salzwedel, Kreis;-
16;  Th�ringen;778996
16051;      Erfurt, kreisfreie Stadt;13350
16052;      Gera, kreisfreie Stadt;4725
16053;      Jena, kreisfreie Stadt;925
16054;      Suhl, kreisfreie Stadt;281
16055;      Weimar, kreisfreie Stadt;2058
16056;      Eisenach, kreisfreie Stadt;5787
16061;      Eichsfeld, Kreis;47207
16062;      Nordhausen, Kreis;35617
16063;      Wartburgkreis;53635
16064;      Unstrut-Hainich-Kreis;66658
16065;      Kyffh�userkreis;67876
16066;      Schmalkalden-Meiningen, Kreis;41017
16067;      Gotha, Kreis;47952
16068;      S�mmerda, Kreis;57693
16069;      Hildburghausen, Kreis;33467
16070;      Ilm-Kreis;31576
16071;      Weimarer Land, Kreis;55255
16072;      Sonneberg, Kreis;6961
16073;      Saalfeld-Rudolstadt, Kreis;33517
16074;      Saale-Holzland-Kreis;39601
16075;      Saale-Orla-Kreis;50506
16076;      Greiz, Kreis;46620
16077;      Altenburger Land, Kreis;36710
