,AGS,Name,Bundesland,energy_Erneuerbare_Anteil,energy_Geheim_Anteil,energy_Anteil_Erneuerbar_Bundesland,energy_rank,energy_third
171,7232,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz,0.0,62.61236843759564,14.531998306057318,9.0,mittleren Drittel
172,7233,Vulkaneifel,Rheinland-Pfalz,0.0,42.230914198721806,14.531998306057318,9.0,mittleren Drittel
173,7235,Trier-Saarburg,Rheinland-Pfalz,0.0,20.072956638851103,14.531998306057318,9.0,mittleren Drittel
174,7311,Frankenthal (Pfalz),Rheinland-Pfalz,0.0,8.768959758413214,14.531998306057318,9.0,mittleren Drittel
175,7312,Kaiserslautern,Rheinland-Pfalz,0.0,10.844734268940362,14.531998306057318,9.0,mittleren Drittel
176,7313,Landau in der Pfalz,Rheinland-Pfalz,0.0,1.397334749977394,14.531998306057318,9.0,mittleren Drittel
177,7314,Ludwigshafen am Rhein,Rheinland-Pfalz,0.0,33.838931013274696,14.531998306057318,9.0,mittleren Drittel
178,7315,Mainz,Rheinland-Pfalz,0.0,62.00418421371749,14.531998306057318,9.0,mittleren Drittel
179,7316,Neustadt an der Weinstraße,Rheinland-Pfalz,0.0,2.003840183021489,14.531998306057318,9.0,mittleren Drittel
180,7317,Pirmasens,Rheinland-Pfalz,0.0,10.882791486068436,14.531998306057318,9.0,mittleren Drittel
181,7318,Speyer,Rheinland-Pfalz,0.0,100.0,14.531998306057318,9.0,mittleren Drittel
182,7319,Worms,Rheinland-Pfalz,0.0,70.70276961774424,14.531998306057318,9.0,mittleren Drittel
183,7320,Zweibrücken,Rheinland-Pfalz,0.0,13.388330721725506,14.531998306057318,9.0,mittleren Drittel
184,7331,Alzey-Worms,Rheinland-Pfalz,0.0,24.62712242398161,14.531998306057318,9.0,mittleren Drittel
185,7332,Bad Dürkheim,Rheinland-Pfalz,0.0,71.63569678441652,14.531998306057318,9.0,mittleren Drittel
186,7333,Donnersbergkreis,Rheinland-Pfalz,0.0,69.07824785021694,14.531998306057318,9.0,mittleren Drittel
187,7334,Germersheim,Rheinland-Pfalz,0.0,22.518191690414387,14.531998306057318,9.0,mittleren Drittel
188,7335,Kaiserslautern,Rheinland-Pfalz,0.0,62.3808564402484,14.531998306057318,9.0,mittleren Drittel
189,7336,Kusel,Rheinland-Pfalz,0.0,3.8725007810889336,14.531998306057318,9.0,mittleren Drittel
190,7337,Südliche Weinstraße,Rheinland-Pfalz,0.0,100.0,14.531998306057318,9.0,mittleren Drittel
191,7338,Rhein-Pfalz-Kreis,Rheinland-Pfalz,0.0,3.106899884159259,14.531998306057318,9.0,mittleren Drittel
192,7339,Mainz-Bingen,Rheinland-Pfalz,0.0,100.0,14.531998306057318,9.0,mittleren Drittel
193,7340,Südwestpfalz,Rheinland-Pfalz,0.0,2.068910709239898,14.531998306057318,9.0,mittleren Drittel
194,8111,Stuttgart,Baden-Württemberg,0.0,34.31961654835595,14.170586274783476,10.0,mittleren Drittel
195,8115,Böblingen,Baden-Württemberg,1.0094362523626417,0.456299254630897,14.170586274783476,10.0,mittleren Drittel
196,8116,Esslingen,Baden-Württemberg,0.6239225171743131,0.0,14.170586274783476,10.0,mittleren Drittel
197,8117,Göppingen,Baden-Württemberg,2.604909689553212,1.198438986413061,14.170586274783476,10.0,mittleren Drittel
198,8118,Ludwigsburg,Baden-Württemberg,0.0,0.7100128885839174,14.170586274783476,10.0,mittleren Drittel
199,8119,Rems-Murr-Kreis,Baden-Württemberg,1.0576021665914377,1.909867260043809,14.170586274783476,10.0,mittleren Drittel
200,8121,Heilbronn,Baden-Württemberg,0.0,0.3656500410807989,14.170586274783476,10.0,mittleren Drittel
201,8125,Heilbronn,Baden-Württemberg,2.0149314789366195,1.1950342357779122,14.170586274783476,10.0,mittleren Drittel
202,8126,Hohenlohekreis,Baden-Württemberg,0.0,1.5714097074843378,14.170586274783476,10.0,mittleren Drittel
203,8127,Schwäbisch Hall,Baden-Württemberg,0.0,26.453452507379684,14.170586274783476,10.0,mittleren Drittel
204,8128,Main-Tauber-Kreis,Baden-Württemberg,5.994818572583268,0.0,14.170586274783476,10.0,mittleren Drittel
205,8135,Heidenheim,Baden-Württemberg,0.0,51.30562712772361,14.170586274783476,10.0,mittleren Drittel
206,8136,Ostalbkreis,Baden-Württemberg,8.028727614125355,2.7485677031365374,14.170586274783476,10.0,mittleren Drittel
207,8211,Baden-Baden,Baden-Württemberg,0.0,100.0,14.170586274783476,10.0,mittleren Drittel
208,8212,Karlsruhe,Baden-Württemberg,0.0,100.0,14.170586274783476,10.0,mittleren Drittel
209,8215,Karlsruhe,Baden-Württemberg,0.0,29.64599148531296,14.170586274783476,10.0,mittleren Drittel
210,8216,Rastatt,Baden-Württemberg,0.170869148646497,6.205984336532149,14.170586274783476,10.0,mittleren Drittel
211,8221,Heidelberg,Baden-Württemberg,0.0,8.548504125973517,14.170586274783476,10.0,mittleren Drittel
212,8222,Mannheim,Baden-Württemberg,0.0,23.865048391621123,14.170586274783476,10.0,mittleren Drittel
213,8225,Neckar-Odenwald-Kreis,Baden-Württemberg,0.0,7.94576693105842,14.170586274783476,10.0,mittleren Drittel
214,8226,Rhein-Neckar-Kreis,Baden-Württemberg,0.0,19.527218578090736,14.170586274783476,10.0,mittleren Drittel
215,8231,Pforzheim,Baden-Württemberg,0.0,2.8665833851508684,14.170586274783476,10.0,mittleren Drittel
216,8235,Calw,Baden-Württemberg,4.56517516622772,0.0,14.170586274783476,10.0,mittleren Drittel
217,8236,Enzkreis,Baden-Württemberg,0.1155923154228707,1.8598123596743288,14.170586274783476,10.0,mittleren Drittel
218,8237,Freudenstadt,Baden-Württemberg,4.469744693308565,0.0,14.170586274783476,10.0,mittleren Drittel
219,8311,Freiburg im Breisgau,Baden-Württemberg,0.0,2.357237030093092,14.170586274783476,10.0,mittleren Drittel
220,8315,Breisgau-Hochschwarzwald,Baden-Württemberg,0.0,11.269162524570604,14.170586274783476,10.0,mittleren Drittel
221,8316,Emmendingen,Baden-Württemberg,2.510159823001239,5.506060195480755,14.170586274783476,10.0,mittleren Drittel
222,8317,Ortenaukreis,Baden-Württemberg,5.714375347298492,16.226862379748326,14.170586274783476,10.0,mittleren Drittel
223,8325,Rottweil,Baden-Württemberg,2.943409284552381,1.6068531181322887,14.170586274783476,10.0,mittleren Drittel
224,8326,Schwarzwald-Baar-Kreis,Baden-Württemberg,4.457832776279865,2.0015670228125084,14.170586274783476,10.0,mittleren Drittel
225,8327,Tuttlingen,Baden-Württemberg,0.6682765865235413,8.393026736793786,14.170586274783476,10.0,mittleren Drittel
226,8335,Konstanz,Baden-Württemberg,0.2239043458126389,19.875284252821427,14.170586274783476,10.0,mittleren Drittel
227,8336,Lörrach,Baden-Württemberg,0.6434139428404833,14.89626932410573,14.170586274783476,10.0,mittleren Drittel
228,8337,Waldshut,Baden-Württemberg,0.8073968441117373,0.0,14.170586274783476,10.0,mittleren Drittel
229,8415,Reutlingen,Baden-Württemberg,0.0,22.750743790980717,14.170586274783476,10.0,mittleren Drittel
230,8416,Tübingen,Baden-Württemberg,1.5463854426157264,0.0,14.170586274783476,10.0,mittleren Drittel
231,8417,Zollernalbkreis,Baden-Württemberg,0.0,59.51845238248892,14.170586274783476,10.0,mittleren Drittel
232,8421,Ulm,Baden-Württemberg,0.0,0.6506364371018157,14.170586274783476,10.0,mittleren Drittel
233,8425,Alb-Donau-Kreis,Baden-Württemberg,33.43419739013378,31.771025754166605,14.170586274783476,10.0,mittleren Drittel
234,8426,Biberach,Baden-Württemberg,0.0,21.932451417208764,14.170586274783476,10.0,mittleren Drittel
235,8435,Bodenseekreis,Baden-Württemberg,0.2368695489208225,0.5752634840178213,14.170586274783476,10.0,mittleren Drittel
236,8436,Ravensburg,Baden-Württemberg,11.22102060756795,0.947673321193818,14.170586274783476,10.0,mittleren Drittel
237,8437,Sigmaringen,Baden-Württemberg,2.646037393688234,0.0,14.170586274783476,10.0,mittleren Drittel
238,9161,Ingolstadt,Bayern,0.0,100.0,20.126032366825232,6.0,mittleren Drittel
239,9162,München,Bayern,0.0,0.8603256101861932,20.126032366825232,6.0,mittleren Drittel
