"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Postleitzahl";"Ort";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Letzte Aktualisierung"
"SEE950476380741";"Institut für Fortpflanzung";"In Betrieb";"7/15/2016";"1/11/2021";"Solare Strahlungsenergie";"20,16";"20";"16321";"Bernau";"Institut für Fortpflanzung landwirtschaftlicher Nutztiere Schönow e.V.";"ABR947318529451";"3/2/2021"
"SEE920021550004";"Hausdach1";"In Betrieb";"7/19/2016";"3/24/2021";"Solare Strahlungsenergie";"6,625";"4,6";"16321";"Bernau";"(natürliche Person)";"ABR994222502025";"3/24/2021"
"SEE937891507960";"Solaranlage_Privat";"In Betrieb";"7/20/2016";"12/7/2020";"Solare Strahlungsenergie";"6";"6";"16341";"Panketal";"(natürliche Person)";"ABR954137311280";"5/4/2021"
"SEE995978583740";"Haussolaranlage";"In Betrieb";"7/21/2016";"2/1/2020";"Solare Strahlungsenergie";"3,54";"3";"16321";"Bernau";"(natürliche Person)";"ABR924823006929";"1/21/2021"
"SEE919007740423";"Hausdach1970";"In Betrieb";"7/22/2016";"9/5/2020";"Solare Strahlungsenergie";"4,845";"4,845";"16244";"Schorfheide";"(natürliche Person)";"ABR909370434012";"9/5/2020"
"SEE908456742492";"Hausdach";"In Betrieb";"7/23/2016";"11/21/2020";"Solare Strahlungsenergie";"5,1";"5";"16359";"Biesenthal";"(natürliche Person)";"ABR918693373199";"6/29/2021"
"SEE933630006077";"Wilhelm";"In Betrieb";"7/25/2016";"1/24/2021";"Solare Strahlungsenergie";"2,94";"2,94";"16244";"Schorfheide";"(natürliche Person)";"ABR919517476584";"1/24/2021"
"SEE912058953743";"Stall Quer";"In Betrieb";"7/27/2016";"2/11/2019";"Solare Strahlungsenergie";"8,96";"8,96";"16230";"Chorin";"(natürliche Person)";"ABR974539038073";"3/2/2020"
"SEE922000168774";"PV Rehhahn";"In Betrieb";"7/27/2016";"9/29/2020";"Solare Strahlungsenergie";"5,3";"5";"16356";"Ahrensfelde";"(natürliche Person)";"ABR925397507485";"9/29/2020"
"SEE907881905427";"Hausdach";"In Betrieb";"7/29/2016";"2/4/2021";"Solare Strahlungsenergie";"3,64";"3,64";"16321";"Bernau";"(natürliche Person)";"ABR927935381168";"2/4/2021"
