,landkreis_id,landkreis,biomasse,geoSolarthermieGrubenKlaerschlammDruckentspannung,kernkraft,solar,verbrennung,wasser,wind,renewable_total,not_renewable_total,percRenewableinRegion
60,15001,Dessau-Roßlau,2395.0,0.0,0.0,6873.082,41722.799999999996,0.0,17200.0,26468.082000000002,41722.799999999996,38.81469372987433
61,3251,Diepholz,115829.5,65.0,0.0,28654.763,1243.5,11.0,780886.0,925446.263,1243.5,99.86581269701584
62,9773,Dillingen a.d. Donau,53808.3,231.18,0.0,21155.779,2778.3,433.0,24803.6,100431.859,2778.3,97.30811382627557
63,9279,Dingolfing-Landau,38958.0,80.0,0.0,35124.939,33239.5,679.2,1520.0,76362.139,33239.5,69.67244258089973
64,1051,Dithmarschen,47552.0,190.0,0.0,34191.015999999996,48407.572,0.0,1868263.14,1950196.156,48407.572,97.57793046606386
65,9779,Donau-Ries,95491.4,9.0,0.0,36669.82,7199.45,265.8,16147.7,148583.72,7199.45,95.37854442171127
66,7333,Donnersbergkreis,2966.0,0.0,0.0,7770.256,1496.255,0.0,291145.0,301881.256,1496.255,99.50680095071385
67,5913,Dortmund,5537.5599999999995,7005.45,0.0,5179.494,5465.815,2100.0,13800.0,33622.50399999999,5465.815,86.01675605441102
68,14612,Dresden,15350.0,582.0,0.0,9089.919,22142.61,0.0,600.0,25621.919,22142.61,53.64214729302576
69,5112,Duisburg,9413.8,62153.0,0.0,2048.1730000000002,292373.65,0.0,2300.0,75914.973,292373.65,20.612902017339806
70,5358,Düren,13662.0,0.0,0.0,17768.846,2874.28,31680.0,411820.5,474931.346,2874.28,99.39844157464985
71,5111,Düsseldorf,109611.4,0.0,0.0,2946.0950000000003,18883.95,0.0,0.0,112557.495,18883.95,85.63318441911528
72,9175,Ebersberg,15246.0,50.0,0.0,12409.364,2128.52,204.4,2313.9,30223.663999999997,2128.52,93.42078420424413
73,16061,Eichsfeld,25660.0,0.0,0.0,7885.111,2393.5,25.0,84000.0,117570.111,2393.5,98.0048116424238
