,index,landkreis_id,landkreis,biomasse,geoSolarthermieGrubenKlaerschlammDruckentspannung,kernkraft,solar,verbrennung,wasser,wind,renewable_total,not_renewable_total,percRenewableinRegion
149,149,16053,Jena,3038.0,0.0,0.0,13014.451000000001,202285.374,2307.0,0.0,18359.451,202285.374,8.32081649773567
150,150,15086,Jerichower Land,17000.0,0.0,0.0,207552.40899999999,10622.61,0.0,294485.0,519037.409,10622.61,97.99444745328229
151,151,7312,Kaiserslautern,0.0,800.0,0.0,61397.557,33375.299999999996,0.0,9225.0,71422.557,33375.299999999996,68.15268846575748
152,152,8212,Karlsruhe,0.0,1442.0,0.0,50013.162,2158171.792,1895.0,3110.0,56460.162,2158171.792,2.549415125074096
153,153,6611,Kassel,16024.0,0.0,0.0,46530.099,140839.75,961.0,6150.0,69665.099,140839.75,33.09429655941085
154,154,9762,Kaufbeuren,3009.0,0.0,0.0,23950.89,9173.21,2406.0,0.4,29366.29,9173.21,76.19790085496699
155,155,9273,Kelheim,24963.15,0.0,0.0,421276.386,69369.36,17723.1,4959.7,468922.336,69369.36,87.11305403455452
156,156,9763,Kempten (Allgäu),1850.0,0.0,0.0,39491.340000000004,15080.39,12327.5,0.0,53668.840000000004,15080.39,78.06464159671314
157,157,1002,Kiel,563.0,0.0,0.0,16871.931,227680.0,120.0,75.0,17629.931,227680.0,7.186798727687874
158,158,9675,Kitzingen,10353.0,0.0,0.0,263844.448,15934.53,14657.0,27752.0,316606.448,15934.53,95.20825069564809
159,159,5154,Kleve,55547.0,1470.0,0.0,340406.407,44678.366,0.0,356536.3,753959.7069999999,44678.366,94.40568043141614
160,160,7111,Koblenz,1487.0,0.0,0.0,21709.045,13300.51,16171.0,101.0,39468.045,13300.51,74.79462911197776
161,161,8335,Konstanz,28597.48,160.0,0.0,206788.069,48999.83,4059.0,9902.8,249507.349,48999.83,83.58504135004404
162,162,5114,Krefeld,609.0,0.0,0.0,39623.517,253909.364,0.0,20150.0,60382.517,253909.364,19.21224207506652
163,163,9571,Kreis Ansbach,137865.75,5.25,0.0,661428.277,15709.15,605.9300000000001,158356.625,958261.832,15709.15,98.38710287161307
164,164,9671,Kreis Aschaffenburg,23653.0,85.0,0.0,100716.242,38603.590000000004,9806.85,4.0,134265.092,38603.590000000004,77.66883535330015
165,165,9772,Kreis Augsburg,32565.0,4.7,0.0,399284.486,22512.93,53971.5,16700.53,502526.21599999996,22512.93,95.71214257612708
166,166,9471,Kreis Bamberg,25510.5,0.0,0.0,224433.936,830750.85,10934.1,78675.0,339553.53599999996,830750.85,29.014121459508907
167,167,9472,Kreis Bayreuth,18889.0,52.0,0.0,180593.22,1325.48,2827.25,111502.0,313863.47,1325.48,99.5794649526895
168,168,5554,Kreis Borken,91370.2,204.7,0.0,598415.159,39840.23,434.6,572219.5,1262644.159,39840.23,96.94121247544565
169,169,9473,Kreis Coburg,15131.0,69.625,0.0,180362.316,7567.35,1448.0,26355.4,223366.341,7567.35,96.72315028299616
170,170,9573,Kreis Fürth,9734.0,0.0,0.0,111869.158,2399.42,616.5,54940.0,177159.658,2399.42,98.66371557109464
171,171,8125,Kreis Heilbronn,12470.0,834.0,1400000.0,280460.519,103083.72,21959.28,72205.5,387929.299,1503083.72,20.514364264141538
172,172,9475,Kreis Hof,19940.0,5.94,0.0,228560.781,22824.48,2072.9,243666.5,494246.121,22824.48,95.5858097606288
173,173,7335,Kreis Kaiserslautern,11467.0,0.0,0.0,94511.858,18457.805,0.0,78050.0,184028.858,18457.805,90.88443420098241
