"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Postleitzahl";"Ort";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Letzte Aktualisierung"
"SEE969239156721";"C000045774_RO_Speicher";"In Betrieb";"2/24/2022";"3/9/2022";"Speicher";"5";"5";"16230";"Melchow";"(natürliche Person)";"ABR903190130765";"3/9/2022"
"SEE908404790742";"Stromspeicher";"In Betrieb";"2/24/2022";"3/10/2022";"Speicher";"3,75";"3,75";"16321";"Bernau";"(natürliche Person)";"ABR979085525565";"4/8/2022"
"SEE965504063961";"Speicher Max - Moritz";"In Betrieb";"2/24/2022";"3/14/2022";"Speicher";"10,24";"3,68";"16321";"Bernau";"(natürliche Person)";"ABR988074350552";"5/19/2022"
"SEE947524246821";"Speicher 13,5";"In Betrieb";"2/24/2022";"3/25/2022";"Speicher";"4,6";"4,6";"16321";"Bernau";"(natürliche Person)";"ABR990271399999";"5/19/2022"
"SEE927665736726";"Eigensonne S O 2227";"In Betrieb";"2/25/2022";"3/1/2022";"Speicher";"5";"5";"16356";"Werneuchen";"(natürliche Person)";"ABR952069739721";"5/5/2022"
"SEE975307139923";"Stromspeicher";"In Betrieb";"2/28/2022";"3/9/2022";"Speicher";"3,75";"3,75";"16321";"Bernau";"(natürliche Person)";"ABR961222379322";"5/19/2022"
"SEE912893123615";"Speicher 2x 15 kWh, 28.02.2022";"In Betrieb";"2/28/2022";"3/11/2022";"Speicher";"22";"22";"16230";"Chorin";"(natürliche Person)";"ABR968671724956";"5/17/2022"
"SEE911035349128";"Eigensonne S A 2410";"In Betrieb";"3/1/2022";"2/28/2022";"Speicher";"2,65";"2,65";"16341";"Panketal";"(natürliche Person)";"ABR959662820375";"3/15/2022"
"SEE969503892119";"PVA HW 02";"In Betrieb";"3/1/2022";"3/3/2022";"Speicher";"6,1";"6,1";"16244";"Schorfheide";"(natürliche Person)";"ABR942095198562";"3/3/2022"
"SEE961310677330";"Speicher Sommer Erweiterung";"In Betrieb";"3/3/2022";"5/6/2022";"Speicher";"6";"6";"16321";"Bernau";"(natürliche Person)";"ABR918104601170";"5/19/2022"
"SEE993242745917";"Speicher - Wölk";"In Betrieb";"3/4/2022";"3/7/2022";"Speicher";"4,6";"4,6";"16348";"Marienwerder";"(natürliche Person)";"ABR902391139935";"3/7/2022"
"SEE982644181706";"PV Anlage Speicher";"In Betrieb";"3/4/2022";"3/11/2022";"Speicher";"3,75";"3,75";"16348";"Wandlitz";"(natürliche Person)";"ABR965682415620";"3/11/2022"
"SEE936835062749";"Stromspeicher";"In Betrieb";"3/4/2022";"3/22/2022";"Speicher";"3,75";"3,75";"16341";"Panketal";"(natürliche Person)";"ABR973170667338";"3/22/2022"
"SEE934673336398";"Speicher Haus";"In Betrieb";"3/5/2022";"4/26/2022";"Speicher";"2,5";"2,5";"16321";"Bernau";"(natürliche Person)";"ABR944688692907";"4/26/2022"
"SEE922661888325";"Speicher";"In Betrieb";"3/7/2022";"3/18/2022";"Speicher";"2,66";"2,66";"16348";"Wandlitz";"(natürliche Person)";"ABR924340474607";"3/18/2022"
"SEE977276787174";"HWR";"In Betrieb";"3/8/2022";"3/8/2022";"Speicher";"5";"5";"16321";"Bernau";"(natürliche Person)";"ABR919426679038";"5/19/2022"
"SEE964606276927";"Stromspeicher";"In Betrieb";"3/8/2022";"3/21/2022";"Speicher";"2,5";"2,5";"16244";"Schorfheide";"(natürliche Person)";"ABR985020078263";"5/5/2022"
"SEE960672017082";"BAT1";"In Betrieb";"3/9/2022";"3/14/2022";"Speicher";"4,6";"4,6";"16348";"Wandlitz";"(natürliche Person)";"ABR974690614819";"3/14/2022"
"SEE900294285742";"HWR";"In Betrieb";"3/10/2022";"3/10/2022";"Speicher";"3,75";"3,75";"16225";"Eberswalde";"(natürliche Person)";"ABR900127870480";"3/10/2022"
"SEE991332242810";"HWR";"In Betrieb";"3/10/2022";"3/10/2022";"Speicher";"3,75";"3,75";"16230";"Chorin";"(natürliche Person)";"ABR982256583233";"3/10/2022"
"SEE916272351040";"PVA DK 02";"In Betrieb";"3/10/2022";"3/10/2022";"Speicher";"10,2";"7";"16244";"Schorfheide";"(natürliche Person)";"ABR973912613678";"5/5/2022"
"SEE965328324279";"VI-00710-A-21_BAT";"In Betrieb";"3/10/2022";"3/18/2022";"Speicher";"6";"6";"16321";"Bernau";"(natürliche Person)";"ABR962117196697";"3/18/2022"
"SEE985825063150";"Speicher Carport";"In Betrieb";"3/10/2022";"4/21/2022";"Speicher";"2,66";"2,66";"16341";"Panketal";"(natürliche Person)";"ABR981135915486";"5/6/2022"
"SEE969936831105";"HWR";"In Betrieb";"3/11/2022";"3/11/2022";"Speicher";"3,75";"3,75";"16244";"Schorfheide";"(natürliche Person)";"ABR990056104527";"5/5/2022"
"SEE962225885339";"Speicher";"In Betrieb";"3/11/2022";"3/21/2022";"Speicher";"2,5";"2,5";"16356";"Ahrensfelde";"(natürliche Person)";"ABR932962689965";"3/21/2022"
"SEE921832545678";"C000043060_RR_Speicher";"In Betrieb";"3/15/2022";"3/16/2022";"Speicher";"5";"4,4";"16341";"Panketal";"(natürliche Person)";"ABR920941340464";"3/16/2022"
"SEE959382249005";"C000063499_MM_Speicher";"In Betrieb";"3/15/2022";"3/17/2022";"Speicher";"5";"5";"16230";"Melchow";"(natürliche Person)";"ABR903246390891";"3/17/2022"
"SEE902934797349";"Speicher Böhm";"In Betrieb";"3/15/2022";"3/22/2022";"Speicher";"2,5";"2,5";"16321";"Bernau";"(natürliche Person)";"ABR978398103644";"5/19/2022"
