,AGS,Name,Bundesland,mobility_car_density,mobility_ev_hybrid,mobility_rank,mobility_third,mobility_pc_km_umweltfreundlich_2002,mobility_pc_km_umweltfreundlich_2017
109,5558,Coesfeld,Nordrhein-Westfalen,64.40646571975857,1.7542195236546316,250,mittleren Drittel,16.5324459466038,21.401120709362583
110,5562,Recklinghausen,Nordrhein-Westfalen,58.95388551911632,1.587464772413883,120,besten Drittel,16.5324459466038,21.401120709362583
111,5566,Steinfurt,Nordrhein-Westfalen,62.07483295422237,1.597819519476827,187,mittleren Drittel,16.5324459466038,21.401120709362583
112,5570,Warendorf,Nordrhein-Westfalen,63.13556884849881,1.623792131600138,214,mittleren Drittel,16.5324459466038,21.401120709362583
113,5711,Bielefeld,Nordrhein-Westfalen,52.73860635565055,2.0371135502182622,56,besten Drittel,16.5324459466038,21.401120709362583
114,5754,Gütersloh,Nordrhein-Westfalen,63.90861613093547,1.8601271769770338,238,mittleren Drittel,16.5324459466038,21.401120709362583
115,5758,Herford,Nordrhein-Westfalen,65.80685059947733,1.8429189857761288,297,schlechtesten Drittel,16.5324459466038,21.401120709362583
116,5762,Höxter,Nordrhein-Westfalen,64.7834907210309,1.3800591453919453,264,mittleren Drittel,16.5324459466038,21.401120709362583
117,5766,Lippe,Nordrhein-Westfalen,63.47085520480946,1.5542350014877901,222,mittleren Drittel,16.5324459466038,21.401120709362583
118,5770,Minden-Lübbecke,Nordrhein-Westfalen,66.09053577281229,1.7589183005905906,304,schlechtesten Drittel,16.5324459466038,21.401120709362583
119,5774,Paderborn,Nordrhein-Westfalen,60.22431960695584,1.9707156247979831,140,mittleren Drittel,16.5324459466038,21.401120709362583
120,5911,Bochum,Nordrhein-Westfalen,57.49654001612366,2.3291263231170953,103,besten Drittel,16.5324459466038,21.401120709362583
121,5913,Dortmund,Nordrhein-Westfalen,50.81178900301951,1.7333160660609495,46,besten Drittel,16.5324459466038,21.401120709362583
122,5914,Hagen,Nordrhein-Westfalen,53.242754871153565,1.562160529481276,58,besten Drittel,16.5324459466038,21.401120709362583
123,5915,Hamm,Nordrhein-Westfalen,55.43523136834823,1.419899798033899,77,besten Drittel,16.5324459466038,21.401120709362583
124,5916,Herne,Nordrhein-Westfalen,50.387879020054775,1.1543790424017213,42,besten Drittel,16.5324459466038,21.401120709362583
125,5954,Ennepe-Ruhr-Kreis,Nordrhein-Westfalen,62.71407418444604,1.8907752147338297,202,mittleren Drittel,16.5324459466038,21.401120709362583
126,5958,Hochsauerlandkreis,Nordrhein-Westfalen,65.66092454033988,1.696730661407884,290,schlechtesten Drittel,16.5324459466038,21.401120709362583
127,5962,Märkischer Kreis,Nordrhein-Westfalen,63.064752834979956,1.7972285658799436,211,mittleren Drittel,16.5324459466038,21.401120709362583
128,5966,Olpe,Nordrhein-Westfalen,68.29326923076923,1.7931189903846154,354,schlechtesten Drittel,16.5324459466038,21.401120709362583
129,5970,Siegen-Wittgenstein,Nordrhein-Westfalen,65.15480677402658,2.0306770381494634,273,schlechtesten Drittel,16.5324459466038,21.401120709362583
130,5974,Soest,Nordrhein-Westfalen,64.15788394233505,1.8098035713104288,242,mittleren Drittel,16.5324459466038,21.401120709362583
131,5978,Unna,Nordrhein-Westfalen,61.834362430450085,1.8063262123374624,177,mittleren Drittel,16.5324459466038,21.401120709362583
132,6411,Darmstadt,Hessen,46.29113392762058,2.2977992996347822,15,besten Drittel,19.563925179273795,21.518746641312887
133,6412,Frankfurt am Main,Hessen,45.78266756583036,2.8920318641138847,11,besten Drittel,19.563925179273795,21.518746641312887
134,6413,Offenbach am Main,Hessen,44.48455767546365,2.1021364103735865,10,besten Drittel,19.563925179273795,21.518746641312887
135,6414,Wiesbaden,Hessen,62.95787775587022,3.499910378203979,209,mittleren Drittel,19.563925179273795,21.518746641312887
136,6431,Bergstraße,Hessen,65.13832855151456,2.1304293311108324,272,schlechtesten Drittel,19.563925179273795,21.518746641312887
137,6432,Darmstadt-Dieburg,Hessen,64.55675311552712,2.4132704614348266,257,mittleren Drittel,19.563925179273795,21.518746641312887
138,6433,Groß-Gerau,Hessen,57.23705877882211,1.8660403102346301,95,besten Drittel,19.563925179273795,21.518746641312887
