,AGS,Name,Bundesland,buildings_anteil_erneuerbare_2016,buildings_anteil_erneuerbare_2020,buildings_rank,buildings_third,buildings_heating_2002,buildings_heating_2020
180,7317,Pirmasens,Rheinland-Pfalz,31.372549019607835,72.72727272727272,26,besten Drittel,146.97,129.72
181,7318,Speyer,Rheinland-Pfalz,7.692307692307692,3.278688524590164,396,schlechtesten Drittel,146.97,129.72
182,7319,Worms,Rheinland-Pfalz,43.58974358974359,40.0,239,mittleren Drittel,146.97,129.72
183,7320,Zweibrücken,Rheinland-Pfalz,34.42622950819672,28.767123287671232,304,schlechtesten Drittel,146.97,129.72
184,7331,Alzey-Worms,Rheinland-Pfalz,27.223719676549862,65.02890173410404,63,besten Drittel,146.97,129.72
185,7332,Bad Dürkheim,Rheinland-Pfalz,26.21359223300971,34.865900383141756,276,schlechtesten Drittel,146.97,129.72
186,7333,Donnersbergkreis,Rheinland-Pfalz,46.086956521739125,56.25,125,besten Drittel,146.97,129.72
187,7334,Germersheim,Rheinland-Pfalz,36.36363636363637,37.931034482758626,251,mittleren Drittel,146.97,129.72
188,7335,Kaiserslautern,Rheinland-Pfalz,32.50000000000001,45.878136200716845,198,mittleren Drittel,146.97,129.72
189,7336,Kusel,Rheinland-Pfalz,39.583333333333336,53.488372093023266,147,mittleren Drittel,146.97,129.72
190,7337,Südliche Weinstraße,Rheinland-Pfalz,38.802083333333336,58.33333333333334,108,besten Drittel,146.97,129.72
191,7338,Rhein-Pfalz-Kreis,Rheinland-Pfalz,19.417475728155342,48.113207547169814,184,mittleren Drittel,146.97,129.72
192,7339,Mainz-Bingen,Rheinland-Pfalz,29.82456140350877,58.63874345549738,106,besten Drittel,146.97,129.72
193,7340,Südwestpfalz,Rheinland-Pfalz,54.03225806451613,69.18238993710692,38,besten Drittel,146.97,129.72
194,8111,Stuttgart,Baden-Württemberg,46.0923623445826,40.32882011605416,234,mittleren Drittel,149.45,126.83
195,8115,Böblingen,Baden-Württemberg,39.28802588996764,61.900684931506845,82,besten Drittel,149.45,126.83
196,8116,Esslingen,Baden-Württemberg,42.507645259938826,57.463672391017184,115,besten Drittel,149.45,126.83
197,8117,Göppingen,Baden-Württemberg,54.79166666666667,72.58979206049149,27,besten Drittel,149.45,126.83
198,8118,Ludwigsburg,Baden-Württemberg,37.22804190169218,50.35506778566818,171,mittleren Drittel,149.45,126.83
199,8119,Rems-Murr-Kreis,Baden-Württemberg,27.439024390243905,52.99145299145299,153,mittleren Drittel,149.45,126.83
200,8121,Heilbronn,Baden-Württemberg,36.440677966101696,35.06172839506173,274,schlechtesten Drittel,149.45,126.83
201,8125,Heilbronn,Baden-Württemberg,53.75494071146245,69.58405545927208,36,besten Drittel,149.45,126.83
202,8126,Hohenlohekreis,Baden-Württemberg,77.93594306049822,68.14988290398126,51,besten Drittel,149.45,126.83
203,8127,Schwäbisch Hall,Baden-Württemberg,41.1764705882353,62.72493573264782,74,besten Drittel,149.45,126.83
204,8128,Main-Tauber-Kreis,Baden-Württemberg,66.0377358490566,65.21739130434783,60,besten Drittel,149.45,126.83
205,8135,Heidenheim,Baden-Württemberg,44.888888888888886,42.67515923566879,220,mittleren Drittel,149.45,126.83
206,8136,Ostalbkreis,Baden-Württemberg,56.60847880299253,69.02654867256638,41,besten Drittel,149.45,126.83
207,8211,Baden-Baden,Baden-Württemberg,41.77215189873418,36.0,267,schlechtesten Drittel,149.45,126.83
208,8212,Karlsruhe,Baden-Württemberg,10.70615034168565,36.6,264,mittleren Drittel,149.45,126.83
209,8215,Karlsruhe,Baden-Württemberg,46.36140637775961,45.811138014527856,200,mittleren Drittel,149.45,126.83
210,8216,Rastatt,Baden-Württemberg,33.20825515947467,54.64190981432361,137,mittleren Drittel,149.45,126.83
211,8221,Heidelberg,Baden-Württemberg,5.683836589698046,23.672566371681413,331,schlechtesten Drittel,149.45,126.83
212,8222,Mannheim,Baden-Württemberg,11.374407582938389,13.757523645743763,367,schlechtesten Drittel,149.45,126.83
213,8225,Neckar-Odenwald-Kreis,Baden-Württemberg,73.04964539007092,75.6923076923077,14,besten Drittel,149.45,126.83
214,8226,Rhein-Neckar-Kreis,Baden-Württemberg,44.73684210526316,57.79816513761468,111,besten Drittel,149.45,126.83
215,8231,Pforzheim,Baden-Württemberg,41.452991452991455,26.196473551637283,317,schlechtesten Drittel,149.45,126.83
216,8235,Calw,Baden-Württemberg,61.96319018404907,83.37028824833703,5,besten Drittel,149.45,126.83
217,8236,Enzkreis,Baden-Württemberg,57.50636132315522,69.15520628683693,40,besten Drittel,149.45,126.83
218,8237,Freudenstadt,Baden-Württemberg,60.07462686567165,59.00216919739697,101,besten Drittel,149.45,126.83
219,8311,Freiburg im Breisgau,Baden-Württemberg,24.889867841409693,18.83052527254708,349,schlechtesten Drittel,149.45,126.83
