Kennziffer;Raumeinheit;Aggregat;Fertiggestellte Wohngebäude mit erneuerbarer Heizenergie;Fertiggestellte Wohngebäude mit erneuerbarer Heizenergie;Fertiggestellte Wohngebäude mit erneuerbarer Heizenergie;Fertiggestellte Wohngebäude mit erneuerbarer Heizenergie;Fertiggestellte Wohnungen mit erneuerbarer Heizenergie;Fertiggestellte Wohnungen mit erneuerbarer Heizenergie;Fertiggestellte Wohnungen mit erneuerbarer Heizenergie
"05914";"Hagen, Stadt";"kreisfreie Stadt";"46,97";"67,74";"65,00";"53,06";"48,42";"37,93";"44,14"
"05915";"Hamm, Stadt";"kreisfreie Stadt";"18,94";"26,67";"35,48";"38,85";"32,16";"26,90";"21,52"
"05916";"Herne, Stadt";"kreisfreie Stadt";"21,43";"21,62";"25,00";"24,21";"34,75";"33,59";"42,72"
"05954";"Ennepe-Ruhr-Kreis";"Landkreis";"39,82";"48,33";"50,00";"60,00";"36,82";"38,88";"50,87"
"05958";"Hochsauerlandkreis";"Landkreis";"41,42";"53,44";"65,00";"63,88";"39,52";"53,60";"61,12"
"05962";"Märkischer Kreis";"Landkreis";"56,38";"61,02";"53,08";"63,53";"49,82";"52,38";"39,64"
"05966";"Olpe";"Landkreis";"59,85";"57,04";"60,74";"66,43";"45,06";"56,65";"63,64"
"05970";"Siegen-Wittgenstein";"Landkreis";"55,13";"62,21";"65,68";"69,43";"48,97";"63,64";"67,44"
"05974";"Soest";"Landkreis";"37,72";"43,61";"51,08";"49,78";"30,14";"37,87";"46,54"
"05978";"Unna";"Landkreis";"29,36";"44,17";"51,68";"52,69";"31,38";"47,88";"38,78"
"06411";"Darmstadt, Stadt";"kreisfreie Stadt";"42,03";"49,33";"62,67";"40,26";"71,81";"46,62";"22,17"
"06412";"Frankfurt am Main, Stadt";"kreisfreie Stadt";"21,93";"14,90";"26,69";"20,73";"5,66";"7,40";"14,50"
"06413";"Offenbach am Main, Stadt";"kreisfreie Stadt";"10,78";"9,68";"11,54";"7,50";"2,28";"5,67";"8,12"
"06414";"Wiesbaden, Stadt";"kreisfreie Stadt";"26,09";"21,95";"22,50";"28,57";"9,84";"8,67";"25,19"
"06431";"Bergstraße";"Landkreis";"56,12";"45,82";"59,59";"58,03";"40,93";"55,51";"40,89"
"06432";"Darmstadt-Dieburg";"Landkreis";"51,85";"49,29";"66,52";"64,86";"42,74";"57,45";"61,39"
"06433";"Groß-Gerau";"Landkreis";"38,13";"49,63";"47,64";"54,85";"40,31";"38,27";"45,45"
"06434";"Hochtaunuskreis";"Landkreis";"45,68";"46,34";"60,08";"64,74";"30,21";"40,00";"34,50"
"06435";"Main-Kinzig-Kreis";"Landkreis";"47,95";"61,12";"11,88";"64,32";"45,21";"12,14";"52,82"
"06436";"Main-Taunus-Kreis";"Landkreis";"49,67";"42,28";"51,34";"56,03";"22,74";"39,07";"48,75"
"06437";"Odenwaldkreis";"Landkreis";"61,11";"64,29";"63,11";"76,74";"62,31";"45,26";"80,77"
"06438";"Offenbach";"Landkreis";"29,50";"49,32";"37,53";"48,87";"29,16";"36,73";"38,32"
"06439";"Rheingau-Taunus-Kreis";"Landkreis";"47,88";"55,51";"60,69";"45,22";"33,33";"47,95";"33,68"
"06440";"Wetteraukreis";"Landkreis";"49,04";"54,43";"59,29";"49,30";"27,30";"41,70";"32,36"
"06531";"Gießen";"Landkreis";"30,32";"35,10";"47,34";"47,69";"21,85";"31,89";"32,28"
"06532";"Lahn-Dill-Kreis";"Landkreis";"47,40";"49,29";"61,51";"60,75";"48,85";"48,23";"56,27"
"06533";"Limburg-Weilburg";"Landkreis";"50,78";"44,93";"55,78";"63,35";"38,21";"48,62";"46,96"
"06534";"Marburg-Biedenkopf";"Landkreis";"56,78";"61,92";"62,11";"66,67";"37,52";"41,68";"40,00"
"06535";"Vogelsbergkreis";"Landkreis";"65,06";"72,63";"73,28";"77,36";"43,33";"70,47";"76,92"
"06611";"Kassel, Stadt";"kreisfreie Stadt";"6,19";"13,68";"25,66";"31,58";"8,18";"18,07";"26,06"
"06631";"Fulda";"Landkreis";"68,17";"64,38";"73,29";"80,26";"52,23";"48,94";"67,85"
"06632";"Hersfeld-Rotenburg";"Landkreis";"71,25";"61,97";"67,86";"73,27";"30,13";"66,67";"48,89"
"06633";"Kassel";"Landkreis";"37,25";"49,57";"54,72";"50,46";"39,94";"35,09";"33,99"
"06634";"Schwalm-Eder-Kreis";"Landkreis";"38,78";"52,10";"56,20";"50,24";"39,94";"45,48";"45,40"
"06635";"Waldeck-Frankenberg";"Landkreis";"46,21";"59,66";"63,06";"61,27";"48,80";"57,80";"55,12"
"06636";"Werra-Meißner-Kreis";"Landkreis";"63,83";"54,05";"64,71";"59,15";"24,42";"53,23";"48,42"
"07111";"Koblenz, Stadt";"kreisfreie Stadt";"31,94";"39,19";"37,63";"47,92";"21,43";"28,03";"27,16"
"07131";"Ahrweiler";"Landkreis";"52,99";"45,77";"52,92";"47,60";"34,11";"42,47";"31,63"
"07132";"Altenkirchen (Westerwald)";"Landkreis";"63,01";"59,46";"63,44";"68,70";"60,71";"56,78";"66,67"
"07133";"Bad Kreuznach";"Landkreis";"55,43";"62,50";"60,51";"65,42";"59,22";"64,07";"64,38"
"07134";"Birkenfeld";"Landkreis";"67,65";"75,29";"77,03";"65,71";"75,25";"74,42";"63,64"
"07135";"Cochem-Zell";"Landkreis";"64,46";"77,67";"80,00";"73,17";"79,02";"80,99";"70,87"
"07137";"Mayen-Koblenz";"Landkreis";"33,33";"39,35";"50,42";"58,41";"35,14";"40,91";"54,03"
"07138";"Neuwied";"Landkreis";"32,27";"38,04";"43,33";"59,14";"36,19";"39,56";"63,72"
"07140";"Rhein-Hunsrück-Kreis";"Landkreis";"50,00";"58,47";"57,38";"63,51";"55,62";"40,82";"59,25"
"07141";"Rhein-Lahn-Kreis";"Landkreis";"44,44";"65,08";"53,18";"57,29";"71,11";"50,62";"56,02"
"07143";"Westerwaldkreis";"Landkreis";"47,73";"46,78";"56,27";"57,14";"38,19";"48,32";"58,55"
"07211";"Trier, Stadt";"kreisfreie Stadt";"76,62";"75,36";"81,25";"83,91";"33,08";"56,18";"71,34"
"07231";"Bernkastel-Wittlich";"Landkreis";"76,60";"79,82";"90,68";"79,14";"70,49";"89,06";"80,90"
"07232";"Eifelkreis Bitburg-Prüm";"Landkreis";"79,17";"80,78";"78,85";"81,95";"84,24";"83,59";"79,39"
"07233";"Vulkaneifel";"Landkreis";"59,12";"80,00";"72,15";"82,46";"75,00";"76,58";"79,76"
"07235";"Trier-Saarburg";"Landkreis";"77,22";"79,72";"79,95";"84,25";"72,56";"78,57";"84,38"
"07311";"Frankenthal (Pfalz), Stadt";"kreisfreie Stadt";"10,77";"23,08";"62,50";"75,00";"17,39";"25,00";"16,25"
"07312";"Kaiserslautern, Stadt";"kreisfreie Stadt";"35,19";"43,75";"39,13";"44,93";"29,52";"39,19";"30,39"
"07313";"Landau in der Pfalz, Stadt";"kreisfreie Stadt";"30,19";"35,48";"56,86";"41,46";"13,79";"38,33";"7,82"
"07314";"Ludwigshafen am Rhein, Stadt";"kreisfreie Stadt";"10,95";"26,51";"24,38";"25,84";"25,42";"13,99";"7,91"
"07315";"Mainz, Stadt";"kreisfreie Stadt";"16,41";"25,42";"55,32";"28,57";"5,83";"21,59";"9,46"
"07316";"Neustadt an der Weinstraße, Stadt";"kreisfreie Stadt";"27,59";"19,23";"18,92";"17,46";"15,00";"21,72";"22,45"
"07317";"Pirmasens, Stadt";"kreisfreie Stadt";"50,00";"57,14";"58,82";"55,56";"41,94";"52,78";"47,69"
"07318";"Speyer, Stadt";"kreisfreie Stadt";"6,67";"26,67";"0,00";"23,68";"11,54";"0,00";"12,66"
"07319";"Worms, Stadt";"kreisfreie Stadt";"50,00";"37,74";"51,22";"61,19";"22,79";"46,59";"59,48"
"07320";"Zweibrücken, Stadt";"kreisfreie Stadt";"47,50";"46,15";"50,00";"37,04";"50,00";"51,61";"21,28"
"07331";"Alzey-Worms";"Landkreis";"30,38";"54,20";"54,11";"57,61";"48,29";"31,58";"49,29"
"07332";"Bad Dürkheim";"Landkreis";"35,68";"38,08";"46,38";"46,46";"31,77";"44,84";"47,39"
"07333";"Donnersbergkreis";"Landkreis";"44,44";"51,16";"51,49";"51,47";"43,75";"44,78";"31,62"
"07334";"Germersheim";"Landkreis";"41,75";"52,02";"50,23";"50,00";"45,87";"29,91";"25,41"
"07335";"Kaiserslautern";"Landkreis";"33,12";"41,10";"42,65";"45,07";"31,74";"43,04";"37,43"
"07336";"Kusel";"Landkreis";"47,01";"60,87";"49,51";"61,25";"54,12";"49,17";"49,07"
"07337";"Südliche Weinstraße";"Landkreis";"40,15";"37,69";"55,75";"56,02";"25,34";"56,21";"49,52"
"07338";"Rhein-Pfalz-Kreis";"Landkreis";"25,94";"37,36";"44,93";"45,71";"25,30";"37,06";"24,31"
"07339";"Mainz-Bingen";"Landkreis";"39,93";"37,56";"46,18";"47,69";"33,93";"39,96";"38,27"
"07340";"Südwestpfalz";"Landkreis";"54,13";"60,81";"58,52";"61,48";"58,54";"57,35";"58,22"
"08111";"Stuttgart, Stadt";"kreisfreie Stadt";"42,11";"34,10";"53,13";"42,76";"25,00";"40,53";"25,27"
"08115";"Böblingen";"Landkreis";"51,96";"55,50";"66,37";"78,61";"38,43";"52,24";"69,84"
"08116";"Esslingen";"Landkreis";"53,93";"59,75";"63,26";"67,63";"39,46";"48,22";"60,63"
